satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
ASIASTAR,00016A,0.01251285276166695,29.426284397441364,0.01993180495107045
IMAGE,00017A,0.01251285276166695,29.426284397441364,0.01993180495107045
USA 149 (DSP 20),00024A,0.01251285276166695,29.426284397441364,0.01993180495107045
TDRS 8,00034A,0.0016711500813038,0.0006341201479074,9.929099229282884e-05
ISS (ZVEZDA),00037A,0.0003567293695882,3.0436658807555466,0.0457885033846175
NAVSTAR 48 (USA 151),00040A,0.012537376776104,0.0108151833403543,0.0016497651756932
NSS-11,00059A,0.0303090704740098,24.20161575128117,0.0124903852349488
USA 153,00065A,0.0028427128575741,8.160963320711929,0.0009106715597627
AMC-6,00067A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 49 (USA 154),00071A,0.000974903597181,9.443686541151663e-05,0.0002911142110779
ISS (DESTINY),01006B,0.0003567293695882,3.0436658807555466,0.0457885033846175
ODIN,01007A,0.0366487819102799,72.89667102802089,2.249154169881552e-05
USA 157 (MILSTAR-2 2),01009A,0.01251285276166695,29.426284397441364,0.01993180495107045
BSAT-2A,01011B,0.0028156175269713,0.036409946554756,0.0033363126204094
OMNI-M1,01026A,0.0,0.0,0.0
USA 159 (DSP 21),01033A,0.0053316576483976,0.5078221799108956,0.0020595046417338
INTELSAT 902 (IS-902),01039A,0.01251285276166695,29.426284397441364,0.01993180495107045
PCSAT (NO-44),01043C,0.0055691361863662,0.0009564461410085,0.0191839098906949
PROBA-1,01049B,0.0040331716039028,3.53474977973794,0.004034447550382
TIMED,01055B,0.0019756616959079,0.1930029758880856,0.0156231099961053
MAROC-TUBSAT,01056D,0.0001187248888095,0.0026591806198774,0.0002233841187652
COSMOS 2385,01058B,0.0010378419423443,0.0331926490234259,0.0008055192973182
COSMOS 2386,01058C,0.0019039642611602,0.0034060257797764,0.0002401769638999
USA 164 (MILSTAR-2 3),02001A,0.01251285276166695,29.426284397441364,0.01993180495107045
INTELSAT 904 (IS-904),02007A,0.01251285276166695,29.426284397441364,0.01993180495107045
AQUA,02022A,0.0005828440711413,0.0806221494634053,3.6142481917301184e-05
DIRECTV 5 (TEMPO 1),02023A,0.01251285276166695,29.426284397441364,0.01993180495107045
INTELSAT 905 (IS-905),02027A,0.01251285276166695,29.426284397441364,0.01993180495107045
GALAXY 3C (G-3C),02030A,0.0093391051523672,3.4930033592820005,0.0046559830199862
COSMOS 2390,02036A,0.0012675901421316,0.0050990428948141,0.0011983513924764
COSMOS 2391,02036B,0.0014705668169981,0.0036260006614841,0.0016166431758435
INTELSAT 906 (IS-906),02041A,0.01251285276166695,29.426284397441364,0.01993180495107045
LATINSAT B,02058B,0.0098485140368176,0.0864919218281298,0.0234406830150151
SAUDISAT 1C (SO-50),02058C,0.0046226105935308,0.0426693962003129,0.011575534049556
LATINSAT A,02058H,0.0102394016310428,0.0450895316770777,0.0161926234432416
NIMIQ 2,02062A,0.01251285276166695,29.426284397441364,0.01993180495107045
CORIOLIS,03001A,0.0014436465930348,0.0020693977327689,0.0031860584783296
SORCE,03004A,0.0174786592393696,0.0123294252463673,0.0140503909599609
NAVSTAR 51 (USA 166),03005A,0.0005551529618292,0.0040079388164897,0.0032508256319756
USA 167,03008A,0.01251285276166695,29.426284397441364,0.01993180495107045
NAVSTAR 52 (USA 168),03010A,0.0071421527783446,0.0134532377202975,0.0004652707557233
USA 169 (MILSTAR-2 4),03012A,0.0526284275362158,1.7781852931771098,8.065280438223035e-05
ASIASAT 4,03014A,0.0185409569300724,0.0607478092892577,0.0003824289008386
HELLAS-SAT 2,03020A,0.01251285276166695,29.426284397441364,0.01993180495107045
THURAYA-2,03026A,0.01251285276166695,29.426284397441364,0.01993180495107045
OPTUS C1,03028B,0.01251285276166695,29.426284397441364,0.01993180495107045
MOST,03031D,0.0016879118971317,0.0001465194278189,0.0022809269246969
CUTE-1 (CO-55),03031E,0.0020067206425258,0.0012238404958642,0.0026974235427095
CUBESAT XI-IV (CO-57),03031J,0.0036442920727555,0.0009862205555666,0.0035034673408492
SCISAT 1,03036A,0.001489458369582,0.0561073944999506,0.0091564740207271
COSMOS 2400,03037A,0.0018475992847905,0.0117445048062514,0.0008671574454597
COSMOS 2401,03037B,0.0017907639741956,0.0537795818324742,0.0010268200952152
USA 170,03040A,0.01251285276166695,29.426284397441364,0.01993180495107045
MOZHAETS 4 (RS22),03042A,0.000489442517529,1.313565697726561,0.0004709552450743
LARETS,03042F,0.0029210602877255,0.0001907634669595,0.000346956619402
GALAXY 13 (HORIZONS-1),03044A,0.01251285276166695,29.426284397441364,0.01993180495107045
DMSP 5D-3 F16 (USA 172),03048A,0.0010955101912116,0.0197625735130624,0.002066450615781
CHUANGXIN 1 (CX-1),03049B,0.0026775733981499,0.0132545995204057,0.0001577807814825
YAMAL 202,03053A,0.0359736474064106,0.1569328449246291,0.0016461398143648
UFO 11 (USA 174),03057A,0.0011477392405863,0.0079422210014687,0.0003375533742046
NAVSTAR 53 (USA 175),03058A,0.0002347577010436,0.0088131403984948,0.000124785853655
USA 176 (DSP 22),04004A,0.0107683411462059,1.0603697640966705,4.22997491251793e-10
