satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
ASIASTAR,00016A,0.5153204180375676,1.777087533783193,0.0036498266552269
IMAGE,00017A,0.1720319314494465,0.8035988748642939,0.0070545492021802
USA 149 (DSP 20),00024A,0.1363184732029878,0.6876712797966619,0.0030957082017411
TDRS 8,00034A,0.0016711496709813,0.0006341210354,9.92905151226999e-05
ISS (ZVEZDA),00037A,0.0003269997449952,2.209453934908034,0.0451886029594013
NAVSTAR 48 (USA 151),00040A,0.0114731429832053,0.0090606418395183,0.0013721954613962
NSS-11,00059A,0.0202184645454419,23.95838232108214,0.0123481244119539
USA 153,00065A,0.0028486723310566,8.160957321572429,0.0009107112257786
AMC-6,00067A,0.0390391164161681,2.6707070847532477,0.2422634975468886
NAVSTAR 49 (USA 154),00071A,0.000959598955219,6.515819179037319e-05,0.0002727008581354
ISS (DESTINY),01006B,0.0003269997449952,2.209453934908034,0.0451886029594013
ODIN,01007A,0.0378507914836842,72.8954656518977,2.218619912450429e-05
USA 157 (MILSTAR-2 2),01009A,2.468647226958705,213.18908856466567,0.0095366988204421
BSAT-2A,01011B,0.0028155888555038,0.0364099698920315,0.0033363179546014
OMNI-M1,01026A,0.0,0.0,0.0
USA 159 (DSP 21),01033A,0.0053321638046435,0.5078217086453405,0.0020594697510432
INTELSAT 902 (IS-902),01039A,0.6105806324410497,123.8956346236247,1.3429572654156506e-05
PCSAT (NO-44),01043C,0.0055690144037408,0.0009523872554295,0.0191840227574852
PROBA-1,01049B,0.0040484567295805,3.45392181724686,0.0039714313592561
TIMED,01055B,0.0019748930794645,0.193002895456458,0.0156117200670608
MAROC-TUBSAT,01056D,0.0001187055582874,0.0026265860920811,0.0002226125203084
COSMOS 2385,01058B,0.0010247072995476,0.0304900565499238,0.0008011037721009
COSMOS 2386,01058C,0.0018868926832261,0.0032596247893404,0.0002394799763977
USA 164 (MILSTAR-2 3),02001A,0.1089372296345028,5.717077111225079,1.4304931784300702e-05
INTELSAT 904 (IS-904),02007A,0.1724977152584504,0.9327719260132352,0.0006960325566824
AQUA,02022A,0.000580490401053,0.0767931201422347,3.344725950025968e-05
DIRECTV 5 (TEMPO 1),02023A,0.412675896728719,0.0713128784059657,0.0010205709710493
INTELSAT 905 (IS-905),02027A,0.1575801456991142,0.2299406051694782,0.0002725936075661
GALAXY 3C (G-3C),02030A,0.0091787052569282,3.451084400553022,0.0046419902082293
COSMOS 2390,02036A,0.0012598514580885,0.0034738995881852,0.0011760684210155
COSMOS 2391,02036B,0.0014434426525205,0.0035908956610466,0.0015856174611828
INTELSAT 906 (IS-906),02041A,0.0757423955484417,0.011370999600294,0.0009390954523135
LATINSAT B,02058B,0.0096854968398789,0.0676292669713372,0.0231620870913263
SAUDISAT 1C (SO-50),02058C,0.0045919218604469,0.0425793893250513,0.0115055703149163
LATINSAT A,02058H,0.0101875976546757,0.0450206526949802,0.0161105358060412
NIMIQ 2,02062A,0.2370821003621221,2.2261630497707503,0.0338913523203389
CORIOLIS,03001A,0.0014215513403668,0.0020246563209959,0.0031420252509831
SORCE,03004A,0.0168116274472311,0.0100514265911191,0.0134364507761066
NAVSTAR 51 (USA 166),03005A,0.0005112745492912,0.0039938198481423,0.0032119479247349
USA 167,03008A,0.1432261638020275,1.382375055207004,0.0001320199881767
NAVSTAR 52 (USA 168),03010A,0.006422787290187,0.0122347650077681,0.0003714194489817
USA 169 (MILSTAR-2 4),03012A,0.0526339571717053,1.7781797532368488,8.066310915370202e-05
ASIASAT 4,03014A,0.0179397434164679,0.0605730877931945,0.0003675550745478
HELLAS-SAT 2,03020A,0.2912064732649199,1.95549443107974,0.0008899440237967
THURAYA-2,03026A,0.335845064637309,96.96432486454395,0.0303987569867197
