satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
ASIASTAR,00016A,0.012219479341433751,1.777087533783193,0.0036498266552269,1,0,0
IMAGE,00017A,0.012219479341433751,0.8035988748642939,0.0070545492021802,1,0,0
USA 149 (DSP 20),00024A,0.012219479341433751,0.6876712797966619,0.0030957082017411,1,0,0
TDRS 8,00034A,0.0016711496709813,0.0006341210354,9.92905151226999e-05,0,0,0
ISS (ZVEZDA),00037A,0.0003269997449952,2.209453934908034,0.0451886029594013,0,0,0
NAVSTAR 48 (USA 151),00040A,0.0114731429832053,0.0090606418395183,0.0013721954613962,0,0,0
NSS-11,00059A,0.0202184645454419,23.95838232108214,0.0123481244119539,0,0,0
USA 153,00065A,0.0028486723310566,8.160957321572429,0.0009107112257786,0,0,0
AMC-6,00067A,0.0390391164161681,2.670707084753248,0.01901756128441395,0,0,1
NAVSTAR 49 (USA 154),00071A,0.000959598955219,6.515819179037319e-05,0.0002727008581354,0,0,0
ISS (DESTINY),01006B,0.0003269997449952,2.209453934908034,0.0451886029594013,0,0,0
ODIN,01007A,0.0378507914836842,72.8954656518977,2.218619912450429e-05,0,0,0
USA 157 (MILSTAR-2 2),01009A,0.012219479341433751,25.51350909356357,0.0095366988204421,1,1,0
BSAT-2A,01011B,0.0028155888555038,0.0364099698920315,0.0033363179546014,0,0,0
OMNI-M1,01026A,0.0,0.0,0.0,0,0,0
USA 159 (DSP 21),01033A,0.0053321638046435,0.5078217086453405,0.0020594697510432,0,0,0
INTELSAT 902 (IS-902),01039A,0.012219479341433751,123.8956346236247,1.3429572654156506e-05,1,0,0
PCSAT (NO-44),01043C,0.0055690144037408,0.0009523872554295,0.0191840227574852,0,0,0
PROBA-1,01049B,0.0040484567295805,3.45392181724686,0.0039714313592561,0,0,0
TIMED,01055B,0.0019748930794645,0.193002895456458,0.0156117200670608,0,0,0
