Year,Payload,Payload Mission Related Object,Payload Fragmentation Debris,Payload Debris,Rocket Body,Rocket Mission Related Object,Rocket Fragmentation Debris,Rocket Debris,Unknown
1960,21,7,0,0,16,13,0,0,0
1962,64,23,2,4,40,33,321,0,0
1964,141,201,6,22,75,88,338,0,0
1966,272,230,19,55,153,206,1013,2,0
1968,375,247,318,56,221,249,925,24,0
1970,458,264,469,56,275,235,1591,29,0
1972,603,279,622,65,370,258,1516,25,0
1974,732,298,625,73,446,280,1732,24,0
1976,947,317,917,81,564,289,2390,23,0
1978,1064,423,994,85,672,285,2658,24,0
1980,1150,383,1238,94,705,281,2363,25,0
1982,1337,549,1816,96,790,273,2418,26,0
1984,1510,525,1860,102,906,317,2388,35,0
1986,1722,790,2391,112,1025,344,2893,36,0
1988,1861,730,2305,122,1108,401,2818,39,0
1990,2008,717,1969,127,1188,420,2486,37,0
1992,2089,638,1968,136,1275,446,3111,38,0
1994,2238,622,2094,136,1369,496,3287,37,0
1996,2389,600,2069,138,1449,517,4031,38,0
1998,2635,521,2083,137,1515,535,3852,40,0
2000,2797,505,2074,140,1547,528,3980,43,0
2002,2885,491,2023,142,1550,506,4061,45,0
2004,3001,494,2123,145,1596,550,3856,48,1
2006,3120,498,2306,163,1650,571,4036,53,7
2008,3285,502,6069,169,1720,626,4116,60,12
2010,3457,500,8198,175,1800,684,4235,60,14
2012,3640,499,7649,176,1863,732,4330,61,16
2014,3957,512,7172,174,1939,755,4177,59,986
2016,4251,496,7593,169,2032,766,4145,61,1694
2018,4971,526,7500,180,2177,860,4738,75,3360
2020,6501,544,7636,205,2284,909,6817,91,4800
2022,10164,529,7841,209,2478,926,7456,94,6057
2024,13921,520,7451,214,2759,833,8804,110,9025
2026,17889,511,7210,231,2975,826,8587,106,13452
