Epoch Year,Rocket Body,Rocket Mission Related Object,Rocket Fragmentation Debris,Rocket Debris,Payload,Payload Mission Related Object,Payload Fragmentation Debris,Payload Debris,Unknown
1960,10,11,0,0,21,11,0,0,0
1962,42,39,0,0,77,25,23,1,0
1964,55,58,0,0,103,31,93,7,0
1966,100,126,83,1,138,30,135,2,0
1968,99,79,15,2,138,24,294,1,0
1970,101,37,464,5,128,40,163,0,0
1972,114,59,0,1,127,94,16,1,0
1974,119,78,0,1,126,112,19,5,0
1976,144,107,221,0,198,112,520,3,0
1978,139,56,3,3,169,76,78,1,0
1980,120,50,34,0,176,101,100,7,0
1982,139,57,29,1,210,305,162,4,0
1984,159,87,17,19,193,172,56,1,0
1986,122,66,530,1,167,449,117,8,0
1988,136,131,63,1,202,141,42,14,0
1990,149,78,104,1,215,106,30,5,0
1992,118,71,381,1,128,39,73,0,0
1994,100,78,85,1,123,35,3,0,0
1996,83,33,838,1,97,12,13,2,0
1998,86,64,159,2,155,9,6,1,0
2000,95,46,357,6,117,10,8,2,0
2002,63,32,82,2,90,20,5,2,0
2004,65,57,2,4,71,12,134,3,1
2006,67,35,313,11,92,16,85,9,6
2008,69,48,20,7,101,17,749,7,3
2010,68,57,282,0,118,8,15,7,1
2012,75,51,206,0,133,10,11,5,1
2014,89,36,74,0,240,19,91,8,962
2016,83,28,39,1,217,13,55,4,437
2018,94,96,619,18,441,32,14,13,1056
2020,65,91,574,9,1272,12,166,11,758
2022,119,176,833,1,2405,34,1,11,831
2024,135,21,1757,15,2647,18,1051,8,1806
2026,2,1,2,0,124,0,0,0,1461
