Epoch Year,Payload,Payload Mission Related Object,Payload Fragmentation Debris,Payload Debris,Rocket Body,Rocket Mission Related Object,Rocket Fragmentation Debris,Rocket Debris,Unknown
1960,21,11,0,0,10,11,0,0,0
1962,77,25,23,1,42,39,0,0,0
1964,103,31,93,7,55,58,0,0,0
1966,138,30,135,2,100,126,83,1,0
1968,138,24,294,1,99,79,15,2,0
1970,128,40,163,0,101,37,464,5,0
1972,127,94,16,1,114,59,0,1,0
1974,126,112,19,5,119,78,0,1,0
1976,198,112,520,3,144,107,221,0,0
1978,169,76,78,1,139,56,3,3,0
1980,176,101,100,7,120,50,34,0,0
1982,210,305,162,4,139,57,29,1,0
1984,193,172,56,1,159,87,17,19,0
1986,167,449,117,8,122,66,530,1,0
1988,202,141,42,14,136,131,63,1,0
1990,215,106,30,5,149,78,104,1,0
1992,128,39,73,0,118,71,381,1,0
1994,123,35,3,0,100,78,85,1,0
1996,97,12,13,2,83,33,838,1,0
1998,155,9,6,1,86,64,159,2,0
2000,117,10,8,2,95,46,357,6,0
2002,90,20,5,2,63,32,82,2,0
2004,71,12,134,3,65,57,2,4,1
2006,92,16,85,9,67,35,313,11,6
2008,101,17,749,7,69,48,20,7,3
2010,118,8,15,7,68,57,282,0,1
2012,133,10,11,5,75,51,206,0,1
2014,240,19,91,8,89,36,74,0,962
2016,217,13,55,4,83,28,39,1,437
2018,441,32,14,13,94,96,619,18,1056
2020,1272,12,166,11,65,91,574,9,758
2022,2405,34,1,11,119,176,833,1,831
2024,2647,18,1051,8,135,21,1757,15,1806
2026,124,0,0,0,2,1,2,0,1461
