Epoch Year,Rocket Body,Rocket Mission Related Object,Rocket Fragmentation Debris,Rocket Debris,Payload,Payload Mission Related Object,Payload Fragmentation Debris,Payload Debris,Unknown
1960,25,25,324,0,59,40,0,3,0
1962,75,84,17,0,148,194,29,12,0
1964,147,186,748,1,259,69,280,38,0
1966,212,247,83,21,293,60,151,2,0
1968,195,101,372,2,272,51,305,1,0
1970,215,107,464,6,280,137,366,8,0
1972,233,131,283,2,262,191,215,13,0
1974,261,171,455,2,277,249,200,12,0
1976,286,184,616,1,377,323,730,9,0
1978,259,94,3,4,317,175,317,3,0
1980,264,126,307,0,357,215,678,9,0
1982,287,151,32,1,445,435,263,10,0
1984,312,186,19,21,382,344,651,3,0
1986,248,138,556,6,306,603,518,9,0
1988,264,212,72,1,384,243,51,14,0
1990,252,137,548,3,354,165,70,15,0
1992,213,128,503,1,236,74,234,0,0
1994,179,119,90,1,241,72,9,0,0
1996,176,78,852,1,249,34,107,2,0
1998,180,98,318,4,282,32,67,3,0
2000,160,70,840,11,200,24,42,4,0
2002,133,70,104,6,177,32,36,3,0
2004,120,91,99,9,143,26,292,17,1
2006,137,77,461,21,202,37,3758,14,8
2008,145,84,68,13,220,32,3146,14,4
2010,144,115,324,4,245,17,24,11,2
2012,155,88,233,1,340,29,12,7,1
2014,177,60,92,4,464,26,807,10,1223
2016,149,62,48,1,666,42,59,9,1026
2018,180,144,2234,31,898,56,204,32,1617
2020,161,197,604,16,3073,26,2160,25,1184
2022,259,311,845,32,5292,58,66,27,1993
2024,277,38,1800,19,7058,26,1203,30,5315
2026,2,1,2,0,124,0,0,0,1338
