Satellite Mass, Satellite Radius
9.71,0.36
33.7,1.13
8.92,0.36
4.0,0.4
5.0,0.51
3.0,0.4
38.0,1.0
46.58,0.26
411.0,0.6
678.89,2.15
1402.38,1.29
1402.38,1.29
405.0,0.6
47.57,0.24
23.79,0.25
10.0,0.2
400.0,0.4
1.0,0.1
2.0,0.1
2.0,0.1
50.0,0.8
50.0,0.8
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
0.53,0.05
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
40.0,0.5
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
113.97,0.66
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
119.92,0.91
39.64,0.8
39.64,0.8
5.0,0.2
76.31,0.86
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
4.96,0.2
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
29.0,0.5
0.72,0.26
39.64,0.8
5.0,0.2
4.21,0.1
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
162.54,0.71
5.0,0.2
5.0,0.2
9.71,0.51
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
7428.15,5.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
22.79,0.6
1248.76,2.3
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
0.53,0.05
5.0,0.2
0.72,0.26
39.64,0.8
1248.76,2.3
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
1248.76,2.3
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
18.83,0.3
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
57.0,0.56
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
78.0,0.6
27.75,0.6
39.64,0.8
5.0,0.2
34.0,1.1
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
219.03,1.0
5.0,0.2
39.64,0.8
1248.76,2.3
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
545.09,2.0
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
386.52,2.0
5.0,0.2
100.1,0.91
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
78.0,0.6
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
10.0,0.1
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
38.65,0.61
5.0,0.2
1248.76,2.3
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
3.0,0.4
39.64,0.8
39.64,0.8
1248.76,2.3
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
162.54,0.76
5.0,0.2
5.0,0.2
13.0,0.53
49.55,0.33
5.0,0.2
5.0,0.2
5.0,0.2
227.95,1.3
39.64,0.8
39.64,0.8
891.97,2.0
5.0,0.2
8325.07,2.0
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
1248.76,2.3
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
545.09,2.0
37.66,0.7
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
545.09,2.0
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
1189.3,2.5
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
5.0,0.2
234.89,0.97
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.0,0.5
39.64,0.8
5.0,0.2
1248.76,2.3
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
39.64,0.8
34.69,0.7
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
49.55,0.33
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
5.0,0.2
5.0,0.2
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
39.64,0.8
644.2,2.0
82.85,0.58
5.0,0.2
39.64,0.8
39.64,0.8
5.0,0.2
39.64,0.8
5.0,0.2
5.0,0.2
