Mass, Volume
0.99,0.024429024474314227
9.71,0.024429024474314227
33.7,0.7554991025144584
8.92,0.024429024474314227
4.0,0.03351032163829113
5.0,0.06945590118188995
102.0,3.8586611767716628
3.0,0.03351032163829113
38.0,0.5235987755982988
28.74,0.062444651777240914
46.58,0.0092027720799157
411.0,0.11309733552923253
678.89,5.203720981436742
1402.38,1.1240037319903367
1402.38,1.1240037319903367
10.9,0.012167
405.0,0.11309733552923253
47.57,0.0072382294738708814
12.0,0.027
1246.78,8.143008158104744
3000.0,0.7853981633974483
49.55,0.125
23.79,0.008181230868723419
45.0,0.027
94.0,0.384
45.0,0.048
10.0,0.008000000000000002
60.0,0.147
1.0,0.0010000000000000002
1.0,0.0010000000000000002
150.0,0.5701990666265475
10.0,0.004188790204786391
100.0,0.125
12.0,0.008000000000000002
12.0,0.008000000000000002
35.0,0.075
150.0,0.6480000000000001
1.0,0.0010000000000000002
2054.0,19.30194526365569
56.0,0.05
100.0,0.075
12.0,0.008000000000000002
12.0,0.008000000000000002
12.0,0.008000000000000002
12.0,0.008000000000000002
12.0,0.008000000000000002
4.0,0.004000000000000001
1.0,0.0010000000000000002
100.0,0.125
3.0,0.008000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
50.0,0.24499999999999997
1.0,0.0010000000000000002
3.5,0.003375
3.5,0.003375
5.0,0.009
92.0,0.216
86.0,0.216
3.0,0.009
10.0,0.027
100.0,0.125
400.0,0.03351032163829113
2035.0,19.30194526365569
4.0,0.009
148.0,0.125
6.0,0.009
14.0,0.008000000000000002
138.0,0.5120000000000001
100.0,0.125
1.0,0.0005235987755982989
2.0,0.0005235987755982989
2.0,0.0005235987755982989
1.0,0.0010000000000000002
90.0,0.288
4.0,0.009
10.0,0.019683000000000003
3.0,0.009
3.0,0.009
3.0,0.004000000000000001
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
4.0,0.009
4.0,0.009
4.0,0.009
50.0,0.26808257310632905
50.0,0.26808257310632905
177.0,1.0
22.0,0.06875
100.0,0.075
7.0,0.008000000000000002
1.0,0.0010000000000000002
2.0,0.004000000000000001
1.333,0.0010000000000000002
2.0,0.004000000000000001
10.0,0.018
10.0,0.018
1.0,0.0010000000000000002
3.6,0.009
4.0,0.003
20.0,0.008000000000000002
82.0,0.288
150.0,1.0
6.8,0.008000000000000002
135.0,1.0
90.0,0.125
1390.0,21.205750411731103
2043.0,18.497697544336702
11.0,0.008000000000000002
95.0,1.5
95.0,1.5
420.0,4.5
2.0,0.0020000000000000005
2.0,0.0020000000000000005
1.0,0.0010000000000000002
1.0,0.0010000000000000002
3.0,0.003
1.0,0.0010000000000000002
2.0,0.0020000000000000005
1.0,0.0010000000000000002
2.0,0.0020000000000000005
78.0,0.016000000000000004
10.0,0.08505
110.0,0.3
120.0,0.020000000000000004
110.0,0.3
110.0,0.3
110.0,0.3
110.0,0.3
5.25,0.008386816
44.0,0.25
1.0,0.0010000000000000002
4.0,0.003
2.0,0.0020000000000000005
2.0,0.0020000000000000005
4.0,0.003
4.0,0.003
4.0,0.003
4.0,0.003
4.0,0.003
4.0,0.003
4.0,0.003
47.0,0.016000000000000004
110.0,0.3
110.0,0.3
110.0,0.3
110.0,0.3
110.0,0.3
110.0,0.3
1.0,0.0010000000000000002
1.0,0.0010000000000000002
5.0,0.0020000000000000005
8.0,0.013824
8.0,0.013824
8.0,0.013824
8.0,0.013824
90.0,0.027
10.0,0.003
69.0,0.08000000000000002
95.0,0.125
100.0,0.252
100.0,0.252
1390.0,21.205750411731103
1.6,0.0010000000000000002
1.4,0.0010000000000000002
110.0,0.3
110.0,0.125
155.0,1.0
55.0,0.25
8.0,0.012
5.0,0.003
4.0,0.003
5.0,0.003
110.0,0.3
425.0,2.0
425.0,2.0
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
1.0,0.0010000000000000002
80.0,0.125
45.0,0.068607
4.0,0.003
95.0,2.25
8.0,0.012
10.0,0.018
10.0,0.018
65.0,1.0
20.0,0.03200000000000001
10.0,0.012
55.0,0.25
95.0,0.125
69.0,0.08000000000000002
69.0,0.08000000000000002
69.0,0.08000000000000002
40.0,0.016000000000000004
22.0,0.012
35.0,0.018
40.0,0.045
40.0,0.045
1.0,0.0010000000000000002
93.0,0.125
93.0,0.125
4.0,0.003
5.5,0.012
220.0,0.06400000000000002
138.0,0.25
15.0,0.016000000000000004
10.0,0.012
12.0,0.013824
4.0,0.003
4.0,0.003
4.0,0.003
4.0,0.003
4.0,0.003
39.0,0.045
35.0,0.225
10.0,0.012
6.8,0.012
10.0,0.012
10.0,0.012
10.0,0.012
12.0,0.012
4.0,0.003
10.0,0.003
5.0,0.003
5.0,0.003
220.0,0.06400000000000002
15.0,0.016000000000000004
130.0,0.2010619298297468
4.0,0.003
5.0,0.003
80.0,0.125
80.0,0.125
80.0,0.125
80.0,0.125
1.0,0.0010000000000000002
55.0,0.25
15.0,0.016000000000000004
39.0,0.045
39.0,0.045
10.0,0.012
5.0,0.003
5.0,0.003
5.0,0.003
10.0,0.012
20.0,0.012
295.0,0.2010619298297468
10.0,0.012
39.0,0.045
10.0,0.012
10.0,0.012
3.0,0.0020000000000000005
110.0,0.6400000000000001
52.0,0.16637500000000005
46.0,0.306
46.0,0.125
55.0,0.191455
55.0,0.25
55.0,0.25
55.0,0.25
55.0,0.25
55.0,0.25
220.0,0.06400000000000002
10.0,0.012
25.0,0.012
8.1,0.012
55.0,0.25
10.0,0.012
41.5,0.209806032
80.0,0.15
540.0,0.125
540.0,0.125
10.0,0.012
15.0,0.016000000000000004
4.0,0.003
15.0,0.016000000000000004
15.0,0.016000000000000004
41.5,0.209806032
41.5,0.209806032
220.0,0.06400000000000002
176.0,0.39269908169872414
180.0,0.32000000000000006
1300.0,2.0
10.0,0.012
4.0,0.003
4.0,0.0034000000000000002
295.0,0.038792386086526756
622.0,1.3737791975066465
600.0,0.125
600.0,0.125
54.0,0.288
10.0,0.012
10.0,0.012
50.0,1.5
50.0,1.5
